week_start,source,skill,experience_count,experience_min_median,experience_min_min,experience_min_max
2026-06-01,topcv,Embedded,1,2.0,2.0,2.0
2026-06-01,topcv,Enterprise sales,2,3.0,3.0,3.0
2026-06-01,topcv,Excel,2,2.0,2.0,2.0
2026-06-01,topcv,Fabricjs,1,2.0,2.0,2.0
2026-06-01,topcv,Figma,2,2.0,2.0,2.0
2026-06-01,topcv,Firebase,1,2.0,2.0,2.0
2026-06-01,topcv,Flutter,2,1.5,1.0,2.0
2026-06-01,topcv,Gamification,2,2.0,2.0,2.0
2026-06-01,topcv,Giao tiếp,6,1.5,1.0,5.0
2026-06-01,topcv,Giao tiếp tốt,2,3.0,3.0,3.0
2026-06-01,topcv,Git,2,2.0,2.0,2.0
2026-06-01,topcv,Giáo Dục,1,2.0,2.0,2.0
2026-06-01,topcv,Giải pháp B2B,2,3.0,3.0,3.0
2026-06-01,topcv,Global planning,1,2.0,2.0,2.0
2026-06-01,topcv,Google Ads,1,2.0,2.0,2.0
2026-06-01,topcv,Google Analytics,1,2.0,2.0,2.0
2026-06-01,topcv,Hiểu Biết Sâu Rộng Về Công Nghệ Thông Tin,1,3.0,3.0,3.0
2026-06-01,topcv,Hiểu biết SDLC,1,2.0,2.0,2.0
2026-06-01,topcv,Hiểu biết STLC,1,2.0,2.0,2.0
2026-06-01,topcv,Hỗ Trợ Ứng Dụng,1,5.0,5.0,5.0
2026-06-01,topcv,ISTQB Foundation,1,2.0,2.0,2.0
2026-06-01,topcv,IT Solution,2,3.0,3.0,3.0
2026-06-01,topcv,Integration test,1,2.0,2.0,2.0
2026-06-01,topcv,It,1,2.0,2.0,2.0
2026-06-01,topcv,Java,4,2.5,1.0,3.0
2026-06-01,topcv,JavaScript,1,3.0,3.0,3.0
2026-06-01,topcv,Javascript,1,2.0,2.0,2.0
2026-06-01,topcv,Khả năng hợp tác,1,5.0,5.0,5.0
2026-06-01,topcv,Khả năng ứng biến giải quyết vấn đề,1,1.0,1.0,1.0
