week_start,source,skill,salary_currency,salary_count,salary_midpoint_median,salary_midpoint_min,salary_midpoint_max
2026-06-01,topcv,IT Solution,VND,2,32500000,32500000,32500000
2026-06-01,topcv,Integration test,VND,1,40000000,40000000,40000000
2026-06-01,topcv,It,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Java,VND,2,31250000,22500000,40000000
2026-06-01,topcv,Javascript,VND,3,17500000,17500000,40000000
2026-06-01,topcv,Jira,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Khả năng ứng biến giải quyết vấn đề,VND,1,12500000,12500000,12500000
2026-06-01,topcv,Kinh nghiệm SQL,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Kiến Thức Về Bảo Mật,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Kiểm Thử Bảo Mật,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Kiểm thử hiệu năng,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Kotlin,VND,1,40000000,40000000,40000000
2026-06-01,topcv,Kubernetes,VND,2,17500000,17500000,17500000
2026-06-01,topcv,Kỹ Năng Giao Tiếp Và Thuyết Trình Xuất Sắc,VND,1,25000000,25000000,25000000
2026-06-01,topcv,Kỹ Năng Lập Kế Hoạch,VND,1,12500000,12500000,12500000
2026-06-01,topcv,Kỹ Năng Phân Tích Yêu Cầu,VND,2,16000000,16000000,16000000
2026-06-01,topcv,Kỹ năng bán hàng,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Kỹ năng làm việc nhóm,VND,1,12500000,12500000,12500000
2026-06-01,topcv,Kỹ năng lập báo cáo,VND,1,12500000,12500000,12500000
2026-06-01,topcv,Linux,VND,3,17500000,17500000,18500000
2026-06-01,topcv,Local planning,VND,1,18500000,18500000,18500000
2026-06-01,topcv,Locator Strategy,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Log Analysis,VND,1,40000000,40000000,40000000
2026-06-01,topcv,Log bug,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Làm Việc Nhóm Và Quản Lý Thời Gian Hiệu Quả,VND,1,25000000,25000000,25000000
2026-06-01,topcv,Lên kế hoạch test,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Lập Trình C++,VND,1,18500000,18500000,18500000
2026-06-01,topcv,Lập Trình Python,VND,1,18500000,18500000,18500000
2026-06-01,topcv,Manual Testing,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Mentoring,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Multithreading,VND,1,40000000,40000000,40000000
2026-06-01,topcv,MySQL,VND,3,17500000,17500000,40000000
2026-06-01,topcv,Nestjs,VND,2,17500000,17500000,17500000
2026-06-01,topcv,Node.js,VND,3,17500000,17500000,30000000
2026-06-01,topcv,OOP,VND,1,40000000,40000000,40000000
2026-06-01,topcv,PHP,VND,1,7000000,7000000,7000000
